"Year","Month","CPI"
2013,"Feb",232.166
2013,"Mar",232.773
2013,"Apr",232.531
2013,"May",232.945
2013,"Jun",233.504
2013,"Jul",233.596
2013,"Aug",233.877
2013,"Sep",234.149
2013,"Oct",233.546
2013,"Nov",233.069
2013,"Dec",233.049
2014,"Jan",233.916
2014,"Feb",234.781
2014,"Mar",236.293
2014,"Apr",237.072
2014,"May",237.9
2014,"Jun",238.343
2014,"Jul",238.25
2014,"Aug",237.852
2014,"Sep",238.031
2014,"Oct",237.433
2014,"Nov",236.151
2014,"Dec",234.812
2015,"Jan",233.707
2015,"Feb",234.722
2015,"Mar",236.119
2015,"Apr",236.599
2015,"May",237.805
2015,"Jun",238.638
2015,"Jul",238.654
2015,"Aug",238.316
2015,"Sep",237.945
2015,"Oct",237.838
2015,"Nov",237.336
2015,"Dec",236.525
2016,"Jan",236.916
2016,"Feb",237.111
2016,"Mar",238.132
2016,"Apr",239.261
2016,"May",240.229
2016,"Jun",241.018
2016,"Jul",240.628
2016,"Aug",240.849
2016,"Sep",241.428
2016,"Oct",241.729
2016,"Nov",241.353
2016,"Dec",241.432
2017,"Jan",242.839
2017,"Feb",243.603
2017,"Mar",243.801
2017,"Apr",244.524
2017,"May",244.733
2017,"Jun",244.955
2017,"Jul",244.786
2017,"Aug",245.519
2017,"Sep",246.819
2017,"Oct",246.663
2017,"Nov",246.669
2017,"Dec",246.524
2018,"Jan",247.867
2018,"Feb",248.991
2018,"Mar",249.554
2018,"Apr",250.546
2018,"May",251.588
2018,"Jun",251.989
2018,"Jul",252.006
2018,"Aug",252.146
2018,"Sep",252.439
2018,"Oct",252.885
2018,"Nov",252.038
2018,"Dec",251.233
2019,"Jan",251.712
2019,"Feb",252.776
2019,"Mar",254.202
2019,"Apr",255.548
2019,"May",256.092
2019,"Jun",256.143
2019,"Jul",256.571
2019,"Aug",256.558
2019,"Sep",256.759
2019,"Oct",257.346
2019,"Nov",257.208
2019,"Dec",256.974
2020,"Jan",257.971
2020,"Feb",258.678
2020,"Mar",258.115
2020,"Apr",256.389
2020,"May",256.394
2020,"Jun",257.797
2020,"Jul",NA
2020,"Aug",NA
2020,"Sep",NA
2020,"Oct",NA
2020,"Nov",NA
2020,"Dec",NA
